"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72458801612202422148.ret"
""
"Cadastrado título novo: 9000008457 2901 - AGUA RICA LTDA 19/12/2024 RG 517,15 0"
"Pago título: 2400002029 3443 - BRK AMBIENTAL - SUMA 19/12/2024 LQ 93311,06 93311,06"
"Pago título: 2400002033 1035 - RAIZEN ENERGIA S/A 19/12/2024 LQ 86017,94 86017,94"
"Pago título: 2400002097 1024 - RAIZEN ENERGIA S/A 19/12/2024 LQ 31858,71 31858,71"
"Pago título: 2400002109 1132 - CIA SANEAMENTO BASIC 19/12/2024 LQ 30607,04 30607,04"
"Pago título: 2400002133 943 - RAIZEN ENERGIA S/A 19/12/2024 LQ 18517,47 18517,47"
"Pago título: 2400002201 856 - PREFEITURA MUNICIPAL 19/12/2024 LQ 9192,86 9192,86"
"Pago título: 2400002329 7791 - CTVI - CENTRO DE TES 19/12/2024 LQ 4391,5 4391,5"
"Pago título: 2400002357 1128 - CIA SANEAMENTO BASIC 19/12/2024 LQ 4202,57 4202,57"
"Pago título: 2400002437 3673 - PLATLOG IMPORTACAO, 19/12/2024 LQ 3382,12 3382,12"
"Pago título: 2400002557 7778 - SSB ENERGIA RENOVAVE 19/12/2024 LQ 2508,97 2508,97"
"Pago título: 2400002569 358 - ASSOCIACAO AMIGOS MAR 19/12/2024 LQ 2438,59 2438,59"
"Pago título: 2400002721 7373 - LEVISSIMA DISTRIBUIC 19/12/2024 LQ 1932,26 1932,26"
"Pago título: 2400002749 1145 - JOBEMA DISTRIBUIDORA 19/12/2024 LQ 1828,18 1828,18"
"Pago título: 2400002977 254 - SOCIEDADE HIPICA DE C 19/12/2024 LQ 1323,98 1323,98"
"Pago título: 2400003009 2712 - PECANHA & HELENA TRA 19/12/2024 LQ 1309,65 1309,65"
"Pago título: 2400003409 989 - A P LOSA & CIA LTDA 19/12/2024 LQ 878,3 878,3"
"Pago título: 2400003421 3333 - AUREO ALESSANDRO DA 19/12/2024 LQ 875,69 875,69"
"Pago título: 2400003457 7822 - ASSOC CONDOMINIOS RE 19/12/2024 LQ 836,88 836,88"
"Pago título: 2400003593 3954 - MARCO ANTONIO TONOLI 19/12/2024 LQ 731,92 731,92"
"Pago título: 2400003637 6692 - CONDOMINIO EMPRESARI 19/12/2024 LQ 729,71 729,71"
"Pago título: 2400003897 3145 - RCL CAMPING E TURISM 19/12/2024 LQ 618,47 618,47"
"Pago título: 2400003929 4129 - TERRAPLANAGEM PARAIZ 19/12/2024 LQ 596,15 596,15"
"Pago título: 2400004013 3336 - CONDOMINIO RESIDENCI 19/12/2024 LQ 577,18 577,18"
"Pago título: 2400004129 3377 - COMERCIO DE AGUAS E 19/12/2024 LQ 548,94 548,94"
"Pago título: 2400004157 2165 - CONDOMINIO RESIDENCI 19/12/2024 LQ 535,39 535,39"
"Pago título: 2400004197 1675 - ASSOCIACAO DOS MORAD 19/12/2024 LQ 522,59 522,59"
"Pago título: 2400004241 2814 - REAL INDUSTRIA E COM 19/12/2024 LQ 508,98 508,98"
"Pago título: 2400004249 523 - CONDOMINIO RESIDENCIA 19/12/2024 LQ 506,88 506,88"
"Pago título: 2400004309 3139 - RAIZEN ENERGIA S/A 19/12/2024 LQ 475,75 475,75"
"Pago título: 2400004553 1742 - CONDOMINIO SERANILA 19/12/2024 LQ 395,23 395,23"
"Pago título: 2400004557 4479 - PERFORM PARTICIPACOE 19/12/2024 LQ 394,86 394,86"
"Pago título: 2400004597 7711 - PAULO SETUBAL NETO 19/12/2024 LQ 386,46 386,46"
"Pago título: 2400004621 3540 - COMERCIAL DE ALIMENT 19/12/2024 LQ 380,98 380,98"
"Pago título: 2400005121 3022 - BORGWARNER BRASIL LT 19/12/2024 LQ 300,31 300,31"
"Pago título: 2400005449 1092 - PREFEITURA MUNICIPAL 19/12/2024 LQ 243,89 243,89"
"Pago título: 2400005561 5353 - CONDOMINIO RESIDENCI 19/12/2024 LQ 226,07 226,07"
"Pago título: 2400005613 3733 - ASSOC PROPRIETARIOS 19/12/2024 LQ 219,58 219,58"
"Pago título: 2400005653 5621 - CENTERANEL 1 PARTICI 19/12/2024 LQ 219,58 219,58"
"Pago título: 2400005761 3596 - COEXPAN BRASIL EMBAL 19/12/2024 LQ 211,05 211,05"
"Pago título: 2400005785 1039 - BRAGA COMERCIO E IND 19/12/2024 LQ 210,21 210,21"
"Pago título: 2400005805 1228 - FERNANDES TEXTIL LTD 19/12/2024 LQ 207,5 207,5"
"Pago título: 9000008441 1597 - PREFEITURA MUNICIPAL 31/12/2024 LQ 1233,28 1233,28"
"Pago título: 9000008454 7894 - NATURA COSMETICOS S/ 19/12/2024 LQ 3866,34 3866,34"
