"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72458841812202421016.ret"
""
"Cadastrado título novo: 9000008460 2901 - AGUA RICA LTDA 31/01/2025 RG 517,22 0"
"Cadastrado título novo: 9000008461 2901 - AGUA RICA LTDA 28/02/2025 RG 517,22 0"
"Cadastrado título novo: 9000008462 2901 - AGUA RICA LTDA 31/03/2025 RG 517,22 0"
"Cadastrado título novo: 9000008463 2901 - AGUA RICA LTDA 30/04/2025 RG 517,22 0"
"Cadastrado título novo: 9000008464 2901 - AGUA RICA LTDA 30/05/2025 RG 517,22 0"
"Cadastrado título novo: 9000008465 2901 - AGUA RICA LTDA 30/06/2025 RG 517,22 0"
"Cadastrado título novo: 9000008466 7321 - COMPANHIA SANEAMENTO 27/12/2024 RG 1536,89 0"
"Cadastrado título novo: 9000008467 5517 - MUNICIPIO DE HORTOLA 20/12/2024 RG 2930,69 0"
"Pago título: 2400002089 3411 - PREFEITURA MUNICIPAL 19/12/2024 LQ 35380,73 35380,73"
"Pago título: 2400002113 1695 - GOODYEAR DO BRASIL P 19/12/2024 LQ 27113,65 27113,65"
"Pago título: 2400002193 878 - PREFEITURA MUNICIPAL 19/12/2024 LQ 10206,93 10206,93"
"Pago título: 2400002285 857 - CPIC BRASIL FIBRAS DE 19/12/2024 LQ 5283,65 5283,65"
"Pago título: 2400002317 2497 - CARVALHEIRA INDUSTRI 19/12/2024 LQ 4893,95 4893,95"
"Pago título: 2400002333 1575 - SO AGUA COMERCIO E S 19/12/2024 LQ 4389,97 4389,97"
"Pago título: 2400002385 206 - ROUSSELOT GELATINAS D 19/12/2024 LQ 3896,09 3896,09"
"Pago título: 2400002473 3851 - USINA GRANELLI LTDA. 19/12/2024 LQ 3187,34 3187,34"
"Pago título: 2400002517 7812 - TEXTIL OMBORGO LTDA 19/12/2024 LQ 2881,13 2881,13"
"Pago título: 2400002621 559 - BENEFICIADORA DE TECI 19/12/2024 LQ 2226,36 2226,36"
"Pago título: 2400002641 3462 - CONDOMINIO EMPRESARI 19/12/2024 LQ 2163,35 2163,35"
"Pago título: 2400002697 970 - SERVICO AUTONOMO DE A 19/12/2024 LQ 2005,45 2005,45"
"Pago título: 2400002797 1815 - TRIAGUA TRANSPORTE E 19/12/2024 LQ 1689,22 1689,22"
"Pago título: 2400002853 558 - CONDOMINIO CENTRO EMP 19/12/2024 LQ 1551,14 1551,14"
"Pago título: 2400003045 111 - ASSOCIACAO MORADORES 19/12/2024 LQ 1280,15 1280,15"
"Pago título: 2400003061 900 - DANA INDUSTRIAS LTDA 19/12/2024 LQ 1255,41 1255,41"
"Pago título: 2400003133 3899 - ASSOCIACAO RESIDENCI 19/12/2024 LQ 1158,01 1158,01"
"Pago título: 2400003185 3383 - CENTRO EMPRESARIAL E 19/12/2024 LQ 1111,44 1111,44"
"Pago título: 2400003201 1249 - ESTANCIA PARQUE ATIB 19/12/2024 LQ 1105,59 1105,59"
"Pago título: 2400003205 2410 - COND CENTRO DE LOGIS 19/12/2024 LQ 1097,88 1097,88"
"Pago título: 2400003249 6849 - ASSOCIACAO DOS MORAD 19/12/2024 LQ 1061,28 1061,28"
"Pago título: 2400003313 978 - CHEM-TREND IND E COM 19/12/2024 LQ 987,88 987,88"
"Pago título: 2400003365 5418 - SAMUEL SAMPAIO TOCAL 19/12/2024 LQ 906,23 906,23"
"Pago título: 2400003653 2906 - TRANSPORTADORA H2O L 19/12/2024 LQ 724,57 724,57"
"Pago título: 2400003689 3926 - HWT PROMOCOES ESPORT 19/12/2024 LQ 709,96 709,96"
"Pago título: 2400003725 62 - GKN SINTER METALS LTDA 19/12/2024 LQ 678,26 678,26"
"Pago título: 2400003997 1122 - PPC SANTANA EQUIPAME 19/12/2024 LQ 583,49 583,49"
"Pago título: 2400004021 3382 - CENTRO EMPRESARIAL E 19/12/2024 LQ 575,56 575,56"
"Pago título: 2400004085 3704 - I.S. COMERCIO DE AGU 19/12/2024 LQ 559,92 559,92"
"Pago título: 2400004113 5803 - ASSOCIACAO DOS AMIGO 19/12/2024 LQ 548,94 548,94"
"Pago título: 2400004225 7720 - ASSOC DOS MORADORES 19/12/2024 LQ 512,34 512,34"
"Pago título: 2400004373 5009 - ASSOCIACAO DOS MORAD 19/12/2024 LQ 443,55 443,55"
"Pago título: 2400004485 2293 - BRUNO NICOLETTI TECI 19/12/2024 LQ 424,58 424,58"
"Pago título: 2400004569 7717 - ASSOCIACAO DO CONJUN 19/12/2024 LQ 393,81 393,81"
"Pago título: 2400004613 7027 - ETIQUETTA BRANCA IND 19/12/2024 LQ 382,99 382,99"
"Pago título: 2400004645 3606 - ANTONIO CHAVES DOS S 19/12/2024 LQ 368,52 368,52"
"Pago título: 2400004681 3170 - MAURICIO ROBERTO FOR 19/12/2024 LQ 365,96 365,96"
"Pago título: 2400004721 1426 - WEIDMANN TECNOLOGIA 19/12/2024 LQ 364,72 364,72"
"Pago título: 2400004785 5449 - CONDOMINIO HOTEL INT 19/12/2024 LQ 351,32 351,32"
