"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR7246004104202521856.ret"
""
"Cadastrado título novo: 9000008523 371 - CONDOMINIO ITAEMBU 30/04/2025 RG 9705,2 0"
"Cadastrado título novo: 9000008524 3644 - IBG CRYO INDUSTRIA D 30/04/2025 RG 900,88 0"
"Cadastrado título novo: 9000008525 3644 - IBG CRYO INDUSTRIA D 30/05/2025 RG 900,88 0"
"Cadastrado título novo: 9000008526 3644 - IBG CRYO INDUSTRIA D 30/06/2025 RG 900,88 0"
"Cadastrado título novo: 9000008527 3644 - IBG CRYO INDUSTRIA D 31/07/2025 RG 900,88 0"
"Cadastrado título novo: 9000008528 3644 - IBG CRYO INDUSTRIA D 29/08/2025 RG 900,88 0"
"Cadastrado título novo: 9000008529 3644 - IBG CRYO INDUSTRIA D 30/09/2025 RG 900,88 0"
"Cadastrado título novo: 9000008530 3644 - IBG CRYO INDUSTRIA D 31/10/2025 RG 900,88 0"
"Cadastrado título novo: 9000008531 3644 - IBG CRYO INDUSTRIA D 28/11/2025 RG 900,88 0"
"Cadastrado título novo: 9000008532 3644 - IBG CRYO INDUSTRIA D 31/12/2025 RG 900,88 0"
"Cadastrado título novo: 9000008533 3644 - IBG CRYO INDUSTRIA D 30/01/2026 RG 900,88 0"
"Cadastrado título novo: 9000008534 5694 - R. BOQUINO TRANSPORT 30/04/2025 RG 2106,98 0"
"Cadastrado título novo: 9000008535 5694 - R. BOQUINO TRANSPORT 30/05/2025 RG 2106,98 0"
"Cadastrado título novo: 9000008536 5694 - R. BOQUINO TRANSPORT 30/06/2025 RG 2106,98 0"
"Cadastrado título novo: 9000008537 5694 - R. BOQUINO TRANSPORT 31/07/2025 RG 2106,98 0"
"Pago título: 9000008516 4481 - CLARIPEL INDUSTRIA D 31/03/2025 LQ 10379,89 10590,93"
